words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868,pred-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647,pred-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309,pred-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390,pred-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo,pred-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo
coffee_pot,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
spirit_level,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
rolling_pin,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
cutting_board,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
land_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
aeroplane,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_machine,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
armour,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
pyjamas,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
plough,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
axe,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
range_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
doughnut,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
chest_of_drawers,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
oil_tanker,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
stick_insect,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
kitchen_scales,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
catalogue,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
tyre,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
castenets,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
whisky,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
can_opener,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
frog,0.7643473118819055,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
turtle,0.7353333304900014,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
otter,0.7267338615373787,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
rabbit,0.7257164469365214,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
owl,0.7178235942656498,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
lizard,0.7096522078355474,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
squirrel,0.705821422734622,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
heron,0.7016506576511614,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wren,0.6960126616178626,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
swan,0.6891929701200913,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
toad,0.6868181927974897,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
sparrow,0.6852747259001071,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
falcon,0.6841721224571239,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
fox,0.684016403575858,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
robin,0.6786964387480221,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
tortoise,0.6731357342549651,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
pelican,0.6713804830365075,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
dragonfly,0.6681718417784871,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
flamingo,0.6576941324489425,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
starling,0.6549314242753964,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
alligator,0.6521767437207859,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
raven,0.6504398021507115,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
iguana,0.6481258851623791,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
buzzard,0.6422402723630901,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
penguin,0.6412820997438096,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
panther,0.6355564894032762,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
pigeon,0.6344835478722053,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
seahorse,0.6320516922765009,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
hummingbird,0.6302869328520779,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
kingfisher,0.6286597766445444,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
crocodile,0.6235572744183978,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
goose,0.620696053449526,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
duck,0.6186550424918271,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
emu,0.6183584851265348,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
woodpecker,0.6060396018877298,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
peacock,0.6056752519938828,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
raccoon,0.6055722096700953,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
seagull,0.6052369993620548,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
chipmunk,0.6048254568517317,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
monkey,0.6047593086303629,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
rattlesnake,0.6034740439017122,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
spider,0.6010626965305241,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
cat,0.6009624904246631,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
giraffe,0.5989489630533413,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
hippo,0.5938772942329239,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
magpie,0.5910743219852337,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
dolphin,0.5908420078171863,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
butterfly,0.5892755391455836,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
beaver,0.587361787099008,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
elephant,0.584572180782918,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
budgie,0.5831422462546882,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
porcupine,0.5820621146561756,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
hedgehog,0.5797268456531428,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
zebra,0.5796120870512338,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
tiger,0.5788815475591347,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
snail,0.5787004189261391,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
pig,0.5778315870197867,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
buffalo,0.5776400844006016,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
leopard,0.5774998544301995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cheetah,0.5757918618530908,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ladybird,0.5756339403280749,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rhino,0.5741015463294813,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
scorpion,0.5689620817669214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grasshopper,0.5684060718358439,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wasp,0.5652457763834312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ostrich,0.5639264329641143,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
gorilla,0.5638160119957967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platypus,0.563113250777415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
