,f1,p,r,oov
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-has_a_blade_blades,0.742857142857143,0.9285714285714286,0.6190476190476191,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-has_a_blade_blades,0.742857142857143,0.9285714285714286,0.6190476190476191,22
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-has_a_blade_blades,0.742857142857143,0.9285714285714286,0.6190476190476191,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-has_a_blade_blades,0.7222222222222222,0.8666666666666667,0.6190476190476191,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-has_a_blade_blades,0.7222222222222222,0.8666666666666667,0.6190476190476191,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-has_a_blade_blades,0.6857142857142857,0.8571428571428571,0.5714285714285714,22
word2vec_google_news-nearest_neighbors-700-loo-has_a_blade_blades,0.68,0.5862068965517241,0.8095238095238095,22
word2vec_google_news-nearest_neighbors-800-loo-has_a_blade_blades,0.6538461538461537,0.5483870967741935,0.8095238095238095,22
word2vec_google_news-nearest_neighbors-500-loo-has_a_blade_blades,0.6521739130434783,0.6,0.7142857142857143,22
word2vec_google_news-nearest_neighbors-600-loo-has_a_blade_blades,0.6521739130434783,0.6,0.7142857142857143,22
word2vec_google_news-logistic_regression-default-loo-has_a_blade_blades,0.6451612903225806,1.0,0.47619047619047616,22
word2vec_google_news-nearest_neighbors-900-loo-has_a_blade_blades,0.6428571428571428,0.5142857142857142,0.8571428571428571,22
word2vec_google_news-nearest_neighbors-400-loo-has_a_blade_blades,0.6363636363636365,0.6086956521739131,0.6666666666666666,22
word2vec_google_news-nearest_neighbors-1000-loo-has_a_blade_blades,0.631578947368421,0.5,0.8571428571428571,22
word2vec_google_news-nearest_neighbors-300-loo-has_a_blade_blades,0.6190476190476191,0.6190476190476191,0.6190476190476191,22
word2vec_google_news-nearest_neighbors-200-loo-has_a_blade_blades,0.5555555555555556,0.6666666666666666,0.47619047619047616,22
word2vec_google_news-nearest_neighbors-100-loo-has_a_blade_blades,0.4137931034482759,0.75,0.2857142857142857,22
