,f1,p,r,oov
word2vec_google_news-neural_net_classification-default-shuff-2018-07-18-13:33:48-957609-loo-ci_is_red,0.5384615384615384,0.6086956521739131,0.4827586206896552,1
word2vec_google_news-neural_net_classification-default-shuff-2018-07-18-12:20:49-001721-loo-ci_is_red,0.5185185185185185,0.56,0.4827586206896552,1
word2vec_google_news-logistic_regression-default-loo-ci_is_red,0.5106382978723404,0.6666666666666666,0.41379310344827586,1
word2vec_google_news-nearest_neighbors-600-loo-ci_is_red,0.36363636363636365,0.5333333333333333,0.27586206896551724,1
word2vec_google_news-nearest_neighbors-400-loo-ci_is_red,0.36363636363636365,0.5333333333333333,0.27586206896551724,1
word2vec_google_news-nearest_neighbors-500-loo-ci_is_red,0.36363636363636365,0.5333333333333333,0.27586206896551724,1
word2vec_google_news-nearest_neighbors-700-loo-ci_is_red,0.36363636363636365,0.5333333333333333,0.27586206896551724,1
word2vec_google_news-nearest_neighbors-900-loo-ci_is_red,0.35555555555555557,0.5,0.27586206896551724,1
word2vec_google_news-nearest_neighbors-1000-loo-ci_is_red,0.35555555555555557,0.5,0.27586206896551724,1
word2vec_google_news-nearest_neighbors-800-loo-ci_is_red,0.35555555555555557,0.5,0.27586206896551724,1
word2vec_google_news-nearest_neighbors-300-loo-ci_is_red,0.3333333333333333,0.5384615384615384,0.2413793103448276,1
word2vec_google_news-nearest_neighbors-200-loo-ci_is_red,0.3076923076923077,0.6,0.20689655172413793,1
word2vec_google_news-nearest_neighbors-100-loo-ci_is_red,0.17142857142857143,0.5,0.10344827586206896,1
