,f1,p,r,oov
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-is_a_bird,0.8955223880597015,0.967741935483871,0.8333333333333334,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-is_a_bird,0.8823529411764706,0.9375,0.8333333333333334,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-is_a_bird,0.8695652173913043,0.9090909090909091,0.8333333333333334,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-is_a_bird,0.8695652173913043,0.9090909090909091,0.8333333333333334,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-is_a_bird,0.8656716417910448,0.9354838709677419,0.8055555555555556,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-is_a_bird,0.8529411764705882,0.90625,0.8055555555555556,22
word2vec_google_news-logistic_regression-default-loo-is_a_bird,0.8437499999999999,0.9642857142857143,0.75,22
word2vec_google_news-nearest_neighbors-500-loo-is_a_bird,0.626865671641791,0.6774193548387096,0.5833333333333334,22
word2vec_google_news-nearest_neighbors-400-loo-is_a_bird,0.6153846153846154,0.6896551724137931,0.5555555555555556,22
word2vec_google_news-nearest_neighbors-600-loo-is_a_bird,0.6086956521739131,0.6363636363636364,0.5833333333333334,22
word2vec_google_news-nearest_neighbors-1000-loo-is_a_bird,0.5974025974025975,0.5609756097560976,0.6388888888888888,22
word2vec_google_news-nearest_neighbors-300-loo-is_a_bird,0.5937499999999999,0.6785714285714286,0.5277777777777778,22
word2vec_google_news-nearest_neighbors-700-loo-is_a_bird,0.591549295774648,0.6,0.5833333333333334,22
word2vec_google_news-nearest_neighbors-800-loo-is_a_bird,0.5753424657534246,0.5675675675675675,0.5833333333333334,22
word2vec_google_news-nearest_neighbors-900-loo-is_a_bird,0.5675675675675677,0.5526315789473685,0.5833333333333334,22
word2vec_google_news-nearest_neighbors-200-loo-is_a_bird,0.5423728813559322,0.6956521739130435,0.4444444444444444,22
word2vec_google_news-nearest_neighbors-100-loo-is_a_bird,0.41509433962264153,0.6470588235294118,0.3055555555555556,22
